Rank,Name,Year,Rating,Number of viewers,Director
106,Scarface,1983,8.2,856917,Brian De Palma
107,Hamilton,2020,8.2,99263,Thomas Kail
108,Incendies,2010,8.2,181864,Denis Villeneuve
109,Heat,1995,8.2,667333,Michael Mann
110,To Kill a Mockingbird,1962,8.2,320394,Robert Mulligan
111,Up,2009,8.2,1059903,Pete Docter
112,The Sting,1973,8.2,267758,George Roy Hill
113,A Separation,2011,8.2,248067,Asghar Farhadi
114,Metropolis,1927,8.2,177075,Fritz Lang
115,Taxi Driver,1976,8.2,852477,Martin Scorsese
116,L.A. Confidential,1997,8.2,589671,Curtis Hanson
117,Die Hard,1988,8.2,895930,John McTiernan
118,Snatch,2000,8.2,867877,Guy Ritchie
119,Indiana Jones and the Last Crusade,1989,8.2,765617,Steven Spielberg
120,Bicycle Thieves,1948,8.2,166234,Vittorio De Sica
121,Top Gun: Maverick,2022,8.2,558297,Joseph Kosinski
122,Like Stars on Earth,2007,8.2,196573,Aamir Khan
123,1917,2019,8.2,611080,Sam Mendes
124,Downfall,2004,8.2,360311,Oliver Hirschbiegel
125,Dangal,2016,8.2,195441,Nitesh Tiwari
126,For a Few Dollars More,1965,8.2,260918,Sergio Leone
127,Batman Begins,2005,8.2,1491232,Christopher Nolan
128,The Kid,1921,8.2,128411,Charles Chaplin
129,Some Like It Hot,1959,8.2,271473,Billy Wilder
130,The Father,2020,8.2,163519,Florian Zeller
131,John Wick: Chapter 4,2023,8.2,63005,Chad Stahelski
132,All About Eve,1950,8.2,133212, Mankiewicz
133,The Wolf of Wall Street,2013,8.2,1444941,Martin Scorsese
134,Green Book,2018,8.2,510154,Peter Farrelly
135,Judgment at Nuremberg,1961,8.2,79148,Stanley Kramer
136,Ran,1985,8.2,128006,Akira Kurosawa
137,Casino,1995,8.2,529869,Martin Scorsese
138,The Truman Show,1998,8.2,1104828,Peter Weir
139,There Will Be Blood,2007,8.2,597237,Paul Thomas Anderson
140,Pan's Labyrinth,2006,8.2,677167,Guillermo del Toro
141,Unforgiven,1992,8.2,417864,Clint Eastwood
142,The Sixth Sense,1999,8.2,1004624, Night Shyamalan
143,Shutter Island,2010,8.2,1344611,Martin Scorsese
144,A Beautiful Mind,2001,8.2,944259,Ron Howard
145,Jurassic Park,1993,8.1,1005202,Steven Spielberg
146,Yojimbo,1961,8.1,124955,Akira Kurosawa
147,The Treasure of the Sierra Madre,1948,8.1,126859,John Huston
148,Monty Python and the Holy Grail,1975,8.1,548455,Terry Gilliam
149,No Country for Old Men,2007,8.1,991918,Ethan Coen
150,The Great Escape,1963,8.1,248061,John Sturges
151,Kill Bill: Vol. 1,2003,8.1,1131731,Quentin Tarantino
152,Rashomon,1950,8.1,171485,Akira Kurosawa
153,The Thing,1982,8.1,434067,John Carpenter
154,Spider-Man: No Way Home,2021,8.1,781621,Jon Watts
155,Finding Nemo,2003,8.1,1058250,Andrew Stanton
156,The Elephant Man,1980,8.1,245870,David Lynch
157,Chinatown,1974,8.1,332231,Roman Polanski
158,Raging Bull,1980,8.1,360043,Martin Scorsese
159,V for Vendetta,2005,8.1,1134254,James McTeigue
160,Gone with the Wind,1939,8.1,320467,Victor Fleming
161,"Lock, Stock and Two Smoking Barrels",1998,8.1,591086,Guy Ritchie
162,Dial M for Murder,1954,8.1,179134,Alfred Hitchcock
163,Inside Out,2015,8.1,728367,Pete Docter
164,The Secret in Their Eyes,2009,8.1,212737,Juan José Campanella
165,Howl's Moving Castle,2004,8.1,405913,Hayao Miyazaki
166,"Three Billboards Outside Ebbing, Missouri",2017,8.1,520666,Martin McDonagh
167,Trainspotting,1996,8.1,696559,Danny Boyle
168,The Bridge on the River Kwai,1957,8.1,224221,David Lean
169,Prisoners,2013,8.1,735694,Denis Villeneuve
170,Fargo,1996,8.1,687982,Joel Coen
171,Warrior,2011,8.1,479174,Connor
172,Gran Torino,2008,8.1,784941,Clint Eastwood
173,My Neighbor Totoro,1988,8.1,348186,Hayao Miyazaki
174,Catch Me If You Can,2002,8.1,1008102,Steven Spielberg
175,Million Dollar Baby,2004,8.1,695986,Clint Eastwood
176,Children of Heaven,1997,8.1,76058,Majid Majidi
177,Blade Runner,1982,8.1,781774,Ridley Scott
178,The Gold Rush,1925,8.1,113125,Charles Chaplin
179,Klaus,2019,8.1,163836,Sergio Pablos
180,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,892394,David Yates
181,Before Sunrise,1995,8.1,316889,Richard Linklater
182,12 Years a Slave,2013,8.1,711339,Steve McQueen
183,On the Waterfront,1954,8.1,157589,Elia Kazan
184,Ben-Hur,1959,8.1,243253,William Wyler
185,The Grand Budapest Hotel,2014,8.1,828522,Wes Anderson
186,Gone Girl,2014,8.1,1000160,David Fincher
187,Wild Strawberries,1957,8.1,109210,Ingmar Bergman
188,The General,1926,8.1,93186,Clyde Bruckman
189,Barry Lyndon,1975,8.1,172142,Stanley Kubrick
190,In the Name of the Father,1993,8.1,178590,Jim Sheridan
191,The Deer Hunter,1978,8.1,344567,Michael Cimino
192,The Third Man,1949,8.1,174314,Carol Reed
193,Hacksaw Ridge,2016,8.1,541943,Mel Gibson
194,The Wages of Fear,1953,8.1,62708,Georges Clouzot
195,Memories of Murder,2003,8.1,192299,Bong Joon Ho
196,Sherlock Jr.,1924,8.1,51695,Buster Keaton
197,Wild Tales,2014,8.1,203164,Damián Szifron
198,Mr. Smith Goes to Washington,1939,8.1,117007,Frank Capra
199,Mad Max: Fury Road,2015,8.1,1020534,George Miller
200,Mary and Max,2009,8.1,179797,Adam Elliot
201,The Seventh Seal,1957,8.1,188466,Ingmar Bergman
202,How to Train Your Dragon,2010,8.1,753929,Dean DeBlois
203,"Monsters, Inc.",2001,8.1,923981,Pete Docter
204,Jaws,1975,8.1,618138,Steven Spielberg
205,Dead Poets Society,1989,8.1,503604,Peter Weir
206,Room,2015,8.1,428402,Lenny Abrahamson
207,The Big Lebowski,1998,8.1,820648,Joel Coen
208,Tokyo Story,1953,8.1,63450,Yasujirô Ozu
209,The Passion of Joan of Arc,1928,8.1,56701,Carl Theodor Dreyer
210,Ford v Ferrari,2019,8.0,409819,James Mangold
211,Hotel Rwanda,2004,8.0,360159,Terry George
